==================================================================
BACKTEST: dial + SVI engine vs benchmarks
==================================================================
  Start: 2004-06-30   Tolerance: 4/5
  Costs: 0.05% round-trip per trade

  Rebalance dates: 266 (2004-06-30 -> 2026-07-31)
  SVI: 1500 steps, 2000 draws per rebalance
  [############################################------]  88.7%  2024-01-31  port=$   44,781  dial=0.26  ETA=18.0m
  [############################################------]  89.1%  2024-02-29  port=$   46,137  dial=0.27  ETA=17.4m
  [############################################------]  89.5%  2024-03-28  port=$   44,658  dial=0.29  ETA=16.8m
  [############################################------]  89.8%  2024-04-30  port=$   46,061  dial=0.40  ETA=16.2m
  [#############################################-----]  90.2%  2024-05-31  port=$   46,834  dial=0.26  ETA=15.6m
  [#############################################-----]  90.6%  2024-06-28  port=$   48,076  dial=0.29  ETA=15.0m
  [#############################################-----]  91.0%  2024-07-31  port=$   49,341  dial=0.44  ETA=14.4m
  [#############################################-----]  91.4%  2024-08-30  port=$   50,128  dial=0.49  ETA=13.8m
  [#############################################-----]  91.7%  2024-09-30  port=$   49,365  dial=0.53  ETA=13.2m
  [##############################################----]  92.1%  2024-10-31  port=$   50,790  dial=0.42  ETA=12.6m
  [##############################################----]  92.5%  2024-11-29  port=$   49,061  dial=0.22  ETA=12.0m
  [##############################################----]  92.9%  2024-12-31  port=$   50,958  dial=0.37  ETA=11.4m
  [##############################################----]  93.2%  2025-01-31  port=$   51,493  dial=0.40  ETA=10.8m
  [##############################################----]  93.6%  2025-02-28  port=$   50,809  dial=0.56  ETA=10.2m
  [##############################################----]  94.0%  2025-03-31  port=$   50,888  dial=0.60  ETA=9.6m
  [###############################################---]  94.4%  2025-04-30  port=$   51,245  dial=0.76  ETA=9.0m
  [###############################################---]  94.7%  2025-05-30  port=$   52,808  dial=0.63  ETA=8.4m
  [###############################################---]  95.1%  2025-06-30  port=$   52,696  dial=0.56  ETA=7.8m
  [###############################################---]  95.5%  2025-07-31  port=$   54,108  dial=0.29  ETA=7.2m
  [###############################################---]  95.9%  2025-08-29  port=$   56,002  dial=0.27  ETA=6.6m
  [################################################--]  96.2%  2025-09-30  port=$   57,106  dial=0.26  ETA=6.0m
  [################################################--]  96.6%  2025-10-31  port=$   58,074  dial=0.31  ETA=5.4m
  [################################################--]  97.0%  2025-11-28  port=$   58,340  dial=0.41  ETA=4.8m
  [################################################--]  97.4%  2025-12-31  port=$   59,451  dial=0.46  ETA=4.2m
  [################################################--]  97.7%  2026-01-30  port=$   60,269  dial=0.41  ETA=3.6m
  [#################################################-]  98.1%  2026-02-27  port=$   56,935  dial=0.36  ETA=3.0m
  [#################################################-]  98.5%  2026-03-31  port=$   56,935  dial=0.53  ETA=2.4m
  [#################################################-]  98.9%  2026-04-30  port=$   58,924  dial=0.41  ETA=1.8m
